PCN,ISSUED,LOCATION,Unnamed: 3,FINE,Total Paid,Balance
242,6,17,60,73,30,0
243,6,17,60,6,30,0
258,6,13,60,6,30,0
258,6,13,60,19,30,0
259,6,13,60,6,30,0
259,6,13,60,16,30,0
260,6,13,60,7,30,0
261,6,13,60,66,30,0
357,6,0,60,6,0,60
358,6,0,60,6,0,0
358,6,0,60,87,0,0
359,6,0,60,6,0,60
364,6,0,60,6,0,60
365,6,0,60,6,0,60
367,6,0,60,6,0,60
368,6,0,60,6,0,60
373,6,0,60,6,0,60
376,6,0,60,6,0,60
377,6,0,60,6,0,60
383,6,0,60,6,0,60
384,6,0,60,6,0,60
385,6,0,60,6,0,60
386,6,0,60,6,0,60
387,6,0,60,6,0,60
388,6,0,60,87,0,0
390,6,0,60,6,0,60
391,6,0,60,6,0,60
394,6,0,60,6,0,60
396,6,0,60,6,0,60
397,6,0,60,6,0,60
398,6,0,60,6,0,60
399,6,0,60,6,0,60
400,6,0,60,6,0,60
401,6,0,60,6,0,60
402,6,0,60,6,0,60
403,6,0,60,6,0,60
404,6,0,60,6,0,60
407,6,0,60,6,0,60
409,6,0,60,6,0,60
414,6,0,60,6,0,60
415,6,0,60,6,60,0
415,6,0,60,86,60,0
416,6,0,60,6,0,60
417,6,0,60,6,0,60
420,6,0,60,6,0,60
423,6,2,60,63,30,0
440,6,18,60,6,0,0
449,6,16,60,6,30,0
450,6,16,60,60,0,0
450,6,16,60,90,0,0
450,6,16,60,13,0,0
450,6,16,60,79,0,0
450,6,16,60,11,0,0
455,6,8,60,6,30,0
455,6,8,60,69,30,0
456,6,8,60,6,30,0
457,6,8,60,6,0,98
457,6,8,60,55,0,98
499,6,20,60,6,30,0
499,6,20,60,60,30,0
540,6,13,60,6,30,0
560,6,0,60,6,0,60
561,6,0,60,6,0,60
562,6,0,60,6,0,60
424,9,10,60,78,30,0
425,9,5,60,63,30,0
429,9,4,60,9,0,0
433,9,22,60,9,30,0
433,9,22,60,87,30,0
437,9,14,60,55,30,0
441,9,3,60,9,0,98
441,9,3,60,86,0,98
442,9,3,60,63,30,0
443,9,3,60,9,30,0
451,9,6,60,84,30,0
459,9,8,60,55,0,98
460,9,8,60,9,0,60
461,9,8,60,7,30,0
463,9,8,60,90,30,0
463,9,8,60,7,30,0
464,9,8,60,9,30,0
464,9,8,60,81,30,0
465,9,8,60,9,30,0
465,9,8,60,63,30,0
465,9,8,60,66,30,0
466,9,8,60,2,30,0
467,9,8,60,81,30,0
468,9,8,60,9,30,0
469,9,8,60,9,30,0
469,9,8,60,63,30,0
469,9,8,60,66,30,0
470,9,8,60,9,30,0
472,9,8,60,9,0,0
472,9,8,60,86,0,0
473,9,8,60,86,0,98
475,9,8,60,9,30,0
475,9,8,60,63,30,0
476,9,8,60,9,30,0
500,9,20,60,60,30,0
501,9,20,60,84,30,0
502,9,20,60,69,30,0
504,9,20,60,9,0,0
504,9,20,60,66,0,0
505,9,20,60,9,30,0
506,9,20,60,9,0,98
506,9,20,60,86,0,98
514,9,19,60,63,30,0
515,9,19,60,9,30,0
